country;lat;lon;date;#affected+infected+value+num;#country+code;#region+main+code;#region+sub+code;#region+intermediate+code;
Afghanistan;33.0;65.0;11/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;10/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;09/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;08/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;07/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;06/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;05/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;04/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;03/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;02/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;01/02/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;31/01/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;30/01/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;29/01/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;28/01/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;27/01/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;26/01/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;25/01/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;24/01/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;23/01/2020;0;AFG;142;34;;
Afghanistan;33.0;65.0;22/01/2020;0;AFG;142;34;;
Albania;411.533;201.683;30/05/2020;857;ALB;150;39;;
Albania;411.533;201.683;29/05/2020;851;ALB;150;39;;
Albania;411.533;201.683;28/05/2020;823;ALB;150;39;;
Albania;411.533;201.683;27/05/2020;812;ALB;150;39;;
Albania;411.533;201.683;26/05/2020;803;ALB;150;39;;
Albania;411.533;201.683;25/05/2020;795;ALB;150;39;;
Albania;411.533;201.683;24/05/2020;789;ALB;150;39;;
Albania;411.533;201.683;23/05/2020;783;ALB;150;39;;
Albania;411.533;201.683;22/05/2020;777;ALB;150;39;;
Albania;411.533;201.683;21/05/2020;771;ALB;150;39;;
Albania;411.533;201.683;20/05/2020;758;ALB;150;39;;
Albania;411.533;201.683;19/05/2020;742;ALB;150;39;;
Albania;411.533;201.683;18/05/2020;727;ALB;150;39;;
Albania;411.533;201.683;17/05/2020;715;ALB;150;39;;
Albania;411.533;201.683;16/05/2020;714;ALB;150;39;;
Albania;411.533;201.683;15/05/2020;705;ALB;150;39;;
Albania;411.533;201.683;14/05/2020;694;ALB;150;39;;
Albania;411.533;201.683;13/05/2020;688;ALB;150;39;;
Albania;411.533;201.683;12/05/2020;682;ALB;150;39;;
Albania;411.533;201.683;11/05/2020;654;ALB;150;39;;
Albania;411.533;201.683;10/05/2020;650;ALB;150;39;;
Albania;411.533;201.683;09/05/2020;627;ALB;150;39;;
Albania;411.533;201.683;08/05/2020;620;ALB;150;39;;
Albania;411.533;201.683;07/05/2020;605;ALB;150;39;;
Albania;411.533;201.683;06/05/2020;595;ALB;150;39;;
Albania;411.533;201.683;05/05/2020;570;ALB;150;39;;
Albania;411.533;201.683;04/05/2020;543;ALB;150;39;;
